"End","CID","Location","Name","Start"
"2016/01/01 11:00:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2016/01/01 10:30:00"
"2016/01/01 14:00:00","1","エンターテイメントホール入口（１Ｆ）","キティ・ホワイト","2016/01/01 13:30:00"
"2016/01/01 11:00:00","3","エンターテイメントホール入口（１Ｆ）","ダニエル・スター","2016/01/01 10:30:00"
"2016/01/01 14:00:00","3","エンターテイメントホール入口（１Ｆ）","ダニエル・スター","2016/01/01 13:30:00"
"2016/01/01 15:30:00","3","エンターテイメントホール入口（１Ｆ）","ダニエル・スター","2016/01/01 15:00:00"
"2016/01/01 12:00:00","86","エンターテイメントホール入口（１Ｆ）","ぼんぼんりぼん","2016/01/01 11:30:00"
"2016/01/01 14:30:00","86","エンターテイメントホール入口（１Ｆ）","ぼんぼんりぼん","2016/01/01 14:00:00"
"2016/01/01 11:30:00","7","マリーランドフォトエリア（４Ｆ）","マイメロディ","2016/01/01 11:00:00"
"2016/01/01 13:00:00","7","マリーランドフォトエリア（４Ｆ）","マイメロディ","2016/01/01 12:30:00"
"2016/01/01 14:00:00","7","マリーランドフォトエリア（４Ｆ）","マイメロディ","2016/01/01 13:30:00"
"2016/01/01 15:30:00","7","マリーランドフォトエリア（４Ｆ）","マイメロディ","2016/01/01 15:00:00"
"2016/01/01 12:30:00","48","マリーランドフォトエリア（４Ｆ）","クロミ","2016/01/01 12:00:00"
"2016/01/01 14:30:00","48","マリーランドフォトエリア（４Ｆ）","クロミ","2016/01/01 14:00:00"
"2016/01/01 16:00:00","48","マリーランドフォトエリア（４Ｆ）","クロミ","2016/01/01 15:30:00"
"2016/01/01 11:50:00","32","キキララフォトエリア（４Ｆ）","リトルツインスターズ","2016/01/01 11:30:00"
"2016/01/01 13:00:00","32","エンターテイメントホール入口（１Ｆ）","リトルツインスターズ","2016/01/01 12:30:00"
"2016/01/01 14:50:00","32","キキララフォトエリア（４Ｆ）","リトルツインスターズ","2016/01/01 14:30:00"
"2016/01/01 16:00:00","32","エンターテイメントホール入口（１Ｆ）","リトルツインスターズ","2016/01/01 15:30:00"
"2016/01/01 11:00:00","53","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","ウィッシュミーメル","2016/01/01 10:30:00"
"2016/01/01 12:00:00","97","マリーランドフォトエリア（４Ｆ）","マイスウィートピアノ","2016/01/01 11:30:00"
"2016/01/01 15:00:00","97","マリーランドフォトエリア（４Ｆ）","マイスウィートピアノ","2016/01/01 14:30:00"
"2016/01/01 16:30:00","97","マリーランドフォトエリア（４Ｆ）","マイスウィートピアノ","2016/01/01 16:00:00"
"2016/01/01 11:00:00","52","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","シナモン","2016/01/01 10:30:00"
"2016/01/01 12:00:00","52","ストロベリーホール出口（２Ｆ）","シナモン","2016/01/01 11:30:00"
