"End","CID","Location","Name","Start"
"5/21/2021 12:30:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","5/21/2021 11:00:00 AM"
"5/21/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","5/21/2021 3:00:00 PM"
"5/21/2021 12:00:00 PM","46","キャンディファクトリー（１Ｆ）","タキシードサム","5/21/2021 11:00:00 AM"
"5/21/2021 4:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","5/21/2021 3:30:00 PM"
"5/21/2021 3:00:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","5/21/2021 1:00:00 PM"
"5/21/2021 12:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","5/21/2021 11:00:00 AM"
"5/21/2021 2:00:00 PM","97","キャンディファクトリー（１Ｆ）","マイスウィートピアノ","5/21/2021 1:00:00 PM"
