"End","CID","Location","Name","Start"
"2/26/2021 12:00:00 PM","1","館のレストラン（４Ｆ）","キティ・ホワイト","2/26/2021 11:30:00 AM"
"2/26/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","2/26/2021 1:00:00 PM"
"2/26/2021 4:30:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","2/26/2021 3:30:00 PM"
"2/26/2021 11:30:00 AM","7","館のレストラン（４Ｆ）","マイメロディ","2/26/2021 11:00:00 AM"
"2/26/2021 3:00:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","2/26/2021 1:00:00 PM"
"2/26/2021 12:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","2/26/2021 11:00:00 AM"
"2/26/2021 12:00:00 PM","52","キャンディファクトリー（１Ｆ）","シナモン","2/26/2021 11:00:00 AM"
"2/26/2021 4:00:00 PM","128","キャンディファクトリー（１Ｆ）","もっぷ","2/26/2021 3:00:00 PM"
