"End","CID","Location","Name","Start"
"2014/11/01 10:20:00","1","ビレッジ（１Ｆ）","キティ・ホワイト","2014/11/01 10:00:00"
"2014/11/01 11:00:00","1","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","キティ・ホワイト","2014/11/01 10:30:00"
"2014/11/01 11:30:00","1","ビレッジ（１Ｆ）","キティ・ホワイト","2014/11/01 11:10:00"
"2014/11/01 11:00:00","3","フードマシンレストラン（４Ｆ）","ダニエル・スター","2014/11/01 10:40:00"
"2014/11/01 12:20:00","3","レインボーホール（３Ｆ）","ダニエル・スター","2014/11/01 12:00:00"
"2014/11/01 10:50:00","86","エントランスショップ（３Ｆ）","ぼんぼんりぼん","2014/11/01 10:30:00"
"2014/11/01 15:20:00","86","ビレッジ（１Ｆ）","ぼんぼんりぼん","2014/11/01 15:00:00"
"2014/11/01 13:20:00","16","レインボーホール（３Ｆ）","るんるんルル","2014/11/01 13:00:00"
"2014/11/01 14:20:00","16","レインボーホール（３Ｆ）","るんるんルル","2014/11/01 14:00:00"
"2014/11/01 13:20:00","49","レインボーホール（３Ｆ）","ミルキーミミ","2014/11/01 13:00:00"
"2014/11/01 14:20:00","49","レインボーホール（３Ｆ）","ミルキーミミ","2014/11/01 14:00:00"
"2014/11/01 17:20:00","39","レインボーホール（３Ｆ）","エンジェラ","2014/11/01 17:00:00"
"2014/11/01 18:20:00","39","ビレッジ（１Ｆ）","エンジェラ","2014/11/01 18:00:00"
"2014/11/01 20:00:00","39","ビレッジ（１Ｆ）","エンジェラ","2014/11/01 19:40:00"
"2014/11/01 12:30:00","7","サンリオタウン１Ｆ（１Ｆ）","マイメロディ","2014/11/01 12:00:00"
"2014/11/01 14:00:00","7","サンリオタウン１Ｆ（１Ｆ）","マイメロディ","2014/11/01 13:30:00"
"2014/11/01 15:00:00","7","サンリオタウン１Ｆ（１Ｆ）","マイメロディ","2014/11/01 14:30:00"
"2014/11/01 16:20:00","7","レインボーホール（３Ｆ）","マイメロディ","2014/11/01 16:00:00"
