"End","CID","Location","Name","Start"
"10/1/2020 4:00:00 PM","2","エンターテイメントホール（１Ｆ）","ミミィ・ホワイト","10/1/2020 3:00:00 PM"
"10/1/2020 4:30:00 PM","3","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","ダニエル・スター","10/1/2020 2:00:00 PM"
"10/1/2020 1:30:00 PM","52","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","シナモン","10/1/2020 11:00:00 AM"
"10/1/2020 12:00:00 PM","97","エンターテイメントホール（１Ｆ）","マイスウィートピアノ","10/1/2020 11:00:00 AM"
"10/1/2020 2:00:00 PM","128","エンターテイメントホール（１Ｆ）","もっぷ","10/1/2020 1:00:00 PM"
"10/2/2020 4:30:00 PM","3","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","ダニエル・スター","10/2/2020 2:00:00 PM"
"10/2/2020 1:30:00 PM","7","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","マイメロディ","10/2/2020 11:00:00 AM"
"10/2/2020 2:00:00 PM","19","エンターテイメントホール（１Ｆ）","モカ","10/2/2020 1:00:00 PM"
"10/2/2020 4:00:00 PM","53","エンターテイメントホール（１Ｆ）","ウィッシュミーメル","10/2/2020 3:00:00 PM"
"10/2/2020 12:00:00 PM","61","エンターテイメントホール（１Ｆ）","バッドばつ丸","10/2/2020 11:00:00 AM"
"10/3/2020 10:30:00 AM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","10/3/2020 9:30:00 AM"
"10/3/2020 6:00:00 PM","7","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","マイメロディ","10/3/2020 2:30:00 PM"
"10/3/2020 2:30:00 PM","19","キャンディファクトリー（１Ｆ）","モカ","10/3/2020 1:30:00 PM"
"10/3/2020 12:30:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","10/3/2020 11:30:00 AM"
"10/3/2020 1:30:00 PM","52","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","シナモン","10/3/2020 10:00:00 AM"
