"End","CID","Location","Name","Start"
"6/9/2023 2:00:00 PM","3","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ダニエル","6/9/2023 11:00:00 AM"
"6/9/2023 5:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","6/9/2023 12:00:00 PM"
"6/9/2023 1:30:00 PM","16","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","るんるんルル","6/9/2023 1:00:00 PM"
"6/9/2023 3:00:00 PM","16","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","るんるんルル","6/9/2023 2:30:00 PM"
"6/9/2023 4:30:00 PM","16","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","るんるんルル","6/9/2023 4:00:00 PM"
"6/9/2023 2:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","6/9/2023 11:00:00 AM"
"6/9/2023 5:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","6/9/2023 4:30:00 PM"
"6/9/2023 1:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","6/9/2023 12:00:00 PM"
"6/9/2023 2:30:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","6/9/2023 1:30:00 PM"
"6/9/2023 4:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","6/9/2023 3:00:00 PM"
"6/9/2023 5:00:00 PM","61","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","バッドばつ丸","6/9/2023 2:00:00 PM"
