"Name","Start","End","Location","CID"
"キティ・ホワイト","2012/07/10 16:40:00","2012/07/10 17:10:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","1"
"ミミィ・ホワイト","2012/07/10 13:20:00","2012/07/10 13:50:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ミミィ・ホワイト","2012/07/10 14:30:00","2012/07/10 15:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ダニエル・スター","2012/07/10 15:40:00","2012/07/10 16:10:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","3"
"ダニエル・スター","2012/07/10 16:40:00","2012/07/10 17:10:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","3"
"ジョージ・ホワイト","2012/07/10 11:00:00","2012/07/10 11:20:00","ｷﾃｨｽﾞﾊｳｽ前(1F)","4"
"メアリー・ホワイト","2012/07/10 11:00:00","2012/07/10 11:20:00","ｷﾃｨｽﾞﾊｳｽ前(1F)","5"
"ラブラ","2012/07/10 10:00:00","2012/07/10 10:15:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","11"
"ラブラ","2012/07/10 11:05:00","2012/07/10 11:25:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","11"
"ラブラ","2012/07/10 12:05:00","2012/07/10 12:25:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","11"
"ももうさ＆はなうさ","2012/07/10 11:40:00","2012/07/10 12:00:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","14"
"ももうさ＆はなうさ","2012/07/10 16:30:00","2012/07/10 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","14"
"マイメロディ","2012/07/10 16:30:00","2012/07/10 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","16"
"シナモン","2012/07/10 13:20:00","2012/07/10 13:50:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","18"
"シナモン","2012/07/10 14:30:00","2012/07/10 15:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","18"
"ミルク","2012/07/10 12:35:00","2012/07/10 12:55:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","23"
"ジャスパー","2012/07/10 11:00:00","2012/07/10 11:20:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","50"
"ジャスパー","2012/07/10 12:00:00","2012/07/10 12:20:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","50"
"ウィッシュミーメル","2012/07/10 10:00:00","2012/07/10 10:15:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","53"
"ウィッシュミーメル","2012/07/10 11:05:00","2012/07/10 11:25:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","53"
"ウィッシュミーメル","2012/07/10 12:05:00","2012/07/10 12:25:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","53"
"ウィッシュミーメル","2012/07/10 16:30:00","2012/07/10 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","53"
"ﾄﾆｰﾄﾆｰ.ﾁｮｯﾊﾟｰ","2012/07/10 11:15:00","2012/07/10 11:30:00","ｸﾞﾙﾒﾊﾞｻﾞｰﾙ(1F)","61"
"ﾄﾆｰﾄﾆｰ.ﾁｮｯﾊﾟｰ","2012/07/10 15:30:00","2012/07/10 15:45:00","夢のﾀｲﾑﾏｼﾝ(1F)","61"
"本舗固歩香本","2012/07/10 13:15:00","2012/07/10 13:45:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","29"
"本舗固歩香本","2012/07/10 14:15:00","2012/07/10 14:45:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","29"
"おさるのもんきち","2012/07/10 14:15:00","2012/07/10 14:45:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","31"
"おさるのもんきち","2012/07/10 15:40:00","2012/07/10 16:10:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","31"
"リトルツインスターズ","2012/07/10 10:20:00","2012/07/10 10:40:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","32"
"リトルツインスターズ","2012/07/10 11:45:00","2012/07/10 12:00:00","館のﾚｽﾄﾗﾝ(4F)","32"
"リトルツインスターズ","2012/07/10 13:00:00","2012/07/10 13:15:00","館のﾚｽﾄﾗﾝ(4F)","32"
"リトルツインスターズ","2012/07/10 15:05:00","2012/07/10 15:25:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","32"
"リトルツインスターズ","2012/07/10 16:15:00","2012/07/10 16:35:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","32"
