"End","CID","Location","Name","Start"
"2/6/2023 2:00:00 PM","3","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ダニエル","2/6/2023 11:00:00 AM"
"2/6/2023 5:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","2/6/2023 12:00:00 PM"
"2/6/2023 3:30:00 PM","23","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","みるく","2/6/2023 3:00:00 PM"
"2/6/2023 5:00:00 PM","23","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","みるく","2/6/2023 4:30:00 PM"
"2/6/2023 2:30:00 PM","23","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","みるく","2/6/2023 2:00:00 PM"
"2/6/2023 1:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","2/6/2023 12:30:00 PM"
"2/6/2023 2:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","2/6/2023 1:30:00 PM"
"2/6/2023 11:30:00 AM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","2/6/2023 11:00:00 AM"
"2/6/2023 5:00:00 PM","28","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","ポチャッコ","2/6/2023 2:00:00 PM"
"2/6/2023 1:30:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","2/6/2023 1:00:00 PM"
"2/6/2023 12:30:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","2/6/2023 11:30:00 AM"
"2/6/2023 3:00:00 PM","128","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モップ","2/6/2023 2:30:00 PM"
"2/6/2023 4:30:00 PM","128","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","モップ","2/6/2023 3:30:00 PM"
