"End","CID","Location","Name","Start"
"1/27/2021 12:00:00 PM","1","館のレストラン（４Ｆ）","キティ・ホワイト","1/27/2021 11:30:00 AM"
"1/27/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","1/27/2021 1:00:00 PM"
"1/27/2021 11:30:00 AM","7","館のレストラン（４Ｆ）","マイメロディ","1/27/2021 11:00:00 AM"
"1/27/2021 12:00:00 PM","19","キャンディファクトリー（１Ｆ）","モカ","1/27/2021 11:00:00 AM"
"1/27/2021 4:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","1/27/2021 2:00:00 PM"
"1/27/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","1/27/2021 3:00:00 PM"
"1/27/2021 1:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","1/27/2021 11:00:00 AM"
