"End","CID","Location","Name","Start"
"5/15/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","5/15/2021 1:00:00 PM"
"5/15/2021 10:00:00 AM","3","キャンディファクトリー（１Ｆ）","ダニエル・スター","5/15/2021 9:00:00 AM"
"5/15/2021 4:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","5/15/2021 1:30:00 PM"
"5/15/2021 11:50:00 AM","46","キャンディファクトリー（１Ｆ）","タキシードサム","5/15/2021 10:00:00 AM"
"5/15/2021 1:00:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","5/15/2021 10:00:00 AM"
"5/15/2021 11:00:00 AM","53","メルメルショップフォトスポット（４Ｆ）","ウィッシュミーメル","5/15/2021 10:00:00 AM"
"5/15/2021 4:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","5/15/2021 3:00:00 PM"
"5/15/2021 11:50:00 AM","139","キャンディファクトリー（１Ｆ）","こぎみゅん","5/15/2021 10:00:00 AM"
