"End","CID","Location","Name","Start"
"7/18/2021 5:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","7/18/2021 10:00:00 AM"
"7/18/2021 5:30:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","7/18/2021 2:00:00 PM"
"7/18/2021 10:00:00 AM","26","キャンディファクトリー（１Ｆ）","ポムポムプリン","7/18/2021 9:00:00 AM"
"7/18/2021 5:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","7/18/2021 10:00:00 AM"
"7/18/2021 1:30:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","7/18/2021 10:00:00 AM"
"7/18/2021 11:15:00 AM","53","メルメルショップフォトスポット（４Ｆ）","ウィッシュミーメル","7/18/2021 9:35:00 AM"
