"End","CID","Location","Name","Start"
"7/1/2023 4:30:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","7/1/2023 4:00:00 PM"
"7/1/2023 10:30:00 AM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","7/1/2023 10:00:00 AM"
"7/1/2023 12:00:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","7/1/2023 11:30:00 AM"
"7/1/2023 1:30:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","7/1/2023 1:00:00 PM"
"7/1/2023 3:00:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","7/1/2023 2:30:00 PM"
"7/1/2023 5:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","7/1/2023 10:00:00 AM"
"7/1/2023 6:00:00 PM","48","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","クロミ","7/1/2023 12:00:00 PM"
"7/1/2023 6:00:00 PM","52","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","シナモン","7/1/2023 12:00:00 PM"
"7/1/2023 6:00:00 PM","61","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","バッドばつ丸","7/1/2023 12:00:00 PM"
"7/1/2023 5:30:00 PM","97","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","マイスウィートピアノ","7/1/2023 4:30:00 PM"
"7/1/2023 1:00:00 PM","97","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","マイスウィートピアノ","7/1/2023 12:00:00 PM"
"7/1/2023 2:30:00 PM","97","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","マイスウィートピアノ","7/1/2023 1:30:00 PM"
"7/1/2023 4:00:00 PM","97","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","マイスウィートピアノ","7/1/2023 3:00:00 PM"
"7/1/2023 11:30:00 AM","97","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","マイスウィートピアノ","7/1/2023 10:30:00 AM"
