"End","CID","Location","Name","Start"
"8/19/2020 4:30:00 PM","2","エンターテイメントホール（１Ｆ）","ミミィ・ホワイト","8/19/2020 3:30:00 PM"
"8/19/2020 1:00:00 PM","3","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","ダニエル・スター","8/19/2020 10:00:00 AM"
"8/19/2020 4:30:00 PM","7","３Ｆ　ＲＨ　インフォメーション側（３Ｆ）","マイメロディ","8/19/2020 1:30:00 PM"
"8/19/2020 12:30:00 PM","19","エンターテイメントホール（１Ｆ）","モカ","8/19/2020 11:30:00 AM"
"8/19/2020 4:30:00 PM","26","３Ｆ　ＲＨ　エントランスショップ側（３Ｆ）","ポムポムプリン","8/19/2020 1:30:00 PM"
"8/19/2020 2:30:00 PM","28","エンターテイメントホール（１Ｆ）","ポチャッコ","8/19/2020 1:30:00 PM"
"8/19/2020 1:00:00 PM","48","３Ｆ　ＲＨ　インフォメーション側（３Ｆ）","クロミ","8/19/2020 10:00:00 AM"
"8/19/2020 10:30:00 AM","97","エンターテイメントホール（１Ｆ）","マイスウィートピアノ","8/19/2020 9:30:00 AM"
