"End","CID","Location","Name","Start"
"5/22/2023 1:30:00 PM","3","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ダニエル","5/22/2023 10:30:00 AM"
"5/22/2023 5:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","5/22/2023 11:00:00 AM"
"5/22/2023 4:30:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","5/22/2023 4:00:00 PM"
"5/22/2023 12:00:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","5/22/2023 11:00:00 AM"
"5/22/2023 1:30:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","5/22/2023 12:30:00 PM"
"5/22/2023 3:30:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","5/22/2023 2:00:00 PM"
"5/22/2023 5:00:00 PM","48","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","クロミ","5/22/2023 1:30:00 PM"
"5/22/2023 5:00:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","5/22/2023 10:30:00 AM"
"5/22/2023 11:00:00 AM","139","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","こぎみゅん","5/22/2023 10:30:00 AM"
"5/22/2023 12:30:00 PM","139","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","こぎみゅん","5/22/2023 12:00:00 PM"
"5/22/2023 2:00:00 PM","139","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","こぎみゅん","5/22/2023 1:30:00 PM"
"5/22/2023 4:00:00 PM","139","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","こぎみゅん","5/22/2023 3:30:00 PM"
"5/22/2023 5:00:00 PM","139","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","こぎみゅん","5/22/2023 4:30:00 PM"
