"End","CID","Location","Name","Start"
"12/8/2023 10:50:00 AM","1","レディキティハウス（２Ｆ）","ハローキティ","12/8/2023 10:30:00 AM"
"12/8/2023 12:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","12/8/2023 11:00:00 AM"
"12/8/2023 5:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","12/8/2023 1:30:00 PM"
"12/8/2023 12:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","12/8/2023 11:00:00 AM"
"12/8/2023 5:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","12/8/2023 1:30:00 PM"
"12/8/2023 12:00:00 PM","28","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","ポチャッコ","12/8/2023 11:00:00 AM"
"12/8/2023 5:00:00 PM","28","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","ポチャッコ","12/8/2023 1:30:00 PM"
"12/8/2023 12:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","12/8/2023 11:00:00 AM"
"12/8/2023 5:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","12/8/2023 1:30:00 PM"
"12/8/2023 12:00:00 PM","53","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ウィッシュミーメル","12/8/2023 11:00:00 AM"
"12/8/2023 5:00:00 PM","53","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ウィッシュミーメル","12/8/2023 1:30:00 PM"
