"End","CID","Location","Name","Start"
"2016/09/01 11:30:00","1","キャンディファクトリー（１Ｆ）","キティ・ホワイト","2016/09/01 11:00:00"
"2016/09/01 12:30:00","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","2016/09/01 12:00:00"
"2016/09/01 11:30:00","3","キャンディファクトリー（１Ｆ）","ダニエル・スター","2016/09/01 11:00:00"
"2016/09/01 12:00:00","8","キャンディファクトリー（１Ｆ）","ルビー","2016/09/01 11:30:00"
"2016/09/01 12:00:00","9","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","サフィー","2016/09/01 11:30:00"
"2016/09/01 16:00:00","9","キャンディファクトリー（１Ｆ）","サフィー","2016/09/01 15:30:00"
"2016/09/01 15:30:00","7","キャンディファクトリー（１Ｆ）","マイメロディ","2016/09/01 15:00:00"
"2016/09/01 12:00:00","53","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","ウィッシュミーメル","2016/09/01 11:30:00"
"2016/09/01 12:00:00","52","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","シナモン","2016/09/01 11:30:00"
"2016/09/01 15:00:00","52","キャンディファクトリー（１Ｆ）","シナモン","2016/09/01 14:30:00"
"2016/09/01 11:50:00","26","ＰＮフォト（４Ｆ）","ポムポムプリン","2016/09/01 11:30:00"
"2016/09/01 13:00:00","26","キャンディファクトリー（１Ｆ）","ポムポムプリン","2016/09/01 12:30:00"
"2016/09/01 14:50:00","26","ＰＮフォト（４Ｆ）","ポムポムプリン","2016/09/01 14:30:00"
"2016/09/01 15:00:00","21","キャンディファクトリー（１Ｆ）","カプチーノ","2016/09/01 14:30:00"
"2016/09/02 11:30:00","1","キャンディファクトリー（１Ｆ）","キティ・ホワイト","2016/09/02 11:00:00"
"2016/09/02 11:30:00","3","キャンディファクトリー（１Ｆ）","ダニエル・スター","2016/09/02 11:00:00"
"2016/09/02 12:00:00","9","ハッピーはっぴ～バースデーＳＨＯＷ（１Ｆ）","サフィー","2016/09/02 11:30:00"
