"End","CID","Location","Name","Start"
"6/23/2023 12:00:00 PM","7","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","マイメロディ","6/23/2023 11:00:00 AM"
"6/23/2023 5:00:00 PM","7","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","マイメロディ","6/23/2023 2:00:00 PM"
"6/23/2023 3:30:00 PM","21","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","カプチーノ","6/23/2023 3:00:00 PM"
"6/23/2023 4:30:00 PM","21","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","カプチーノ","6/23/2023 4:00:00 PM"
"6/23/2023 12:00:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","6/23/2023 11:00:00 AM"
"6/23/2023 5:00:00 PM","26","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ポムポムプリン","6/23/2023 2:00:00 PM"
"6/23/2023 12:00:00 PM","28","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ポチャッコ","6/23/2023 11:00:00 AM"
"6/23/2023 5:00:00 PM","28","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ポチャッコ","6/23/2023 2:00:00 PM"
"6/23/2023 4:00:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","6/23/2023 3:30:00 PM"
"6/23/2023 5:00:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","6/23/2023 4:30:00 PM"
"6/23/2023 12:00:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","6/23/2023 11:00:00 AM"
"6/23/2023 3:00:00 PM","52","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","シナモン","6/23/2023 2:00:00 PM"
"6/23/2023 5:00:00 PM","61","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","バッドばつ丸","6/23/2023 2:00:00 PM"
