"Name","Start","End","Location","CID"
"キティ・ホワイト","2013/02/01 10:00:00","2013/02/01 10:15:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","1"
"キティ・ホワイト","2013/02/01 16:30:00","2013/02/01 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","1"
"ミミィ・ホワイト","2013/02/01 11:00:00","2013/02/01 11:30:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ミミィ・ホワイト","2013/02/01 12:00:00","2013/02/01 12:30:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"メアリー・ホワイト","2013/02/01 10:20:00","2013/02/01 10:40:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","5"
"マイメロディ","2013/02/01 12:30:00","2013/02/01 12:50:00","ﾏﾘｰﾗﾝﾄﾞ(4F)","33"
"マイメロディ","2013/02/01 15:30:00","2013/02/01 15:50:00","ﾏﾘｰﾗﾝﾄﾞ(4F)","33"
"クロミ","2013/02/01 11:15:00","2013/02/01 11:35:00","ﾌｰﾄﾞﾏｼﾝﾚｽﾄﾗﾝ(4F)","68"
"クロミ","2013/02/01 12:30:00","2013/02/01 12:50:00","ﾏﾘｰﾗﾝﾄﾞ(4F)","68"
"クロミ","2013/02/01 16:00:00","2013/02/01 16:20:00","ﾏﾘｰﾗﾝﾄﾞ(4F)","68"
"クロミ","2013/02/01 16:30:00","2013/02/01 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","68"
"シナモン","2013/02/01 13:20:00","2013/02/01 13:50:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","52"
"シナモン","2013/02/01 14:30:00","2013/02/01 15:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","52"
"ポムポムプリン","2013/02/01 10:20:00","2013/02/01 10:40:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","26"
"ポムポムプリン","2013/02/01 11:40:00","2013/02/01 12:00:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","26"
"ポムポムプリン","2013/02/01 15:45:00","2013/02/01 16:05:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","26"
"ポムポムプリン","2013/02/01 16:45:00","2013/02/01 17:05:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","26"
"ウィッシュミーメル","2013/02/01 10:20:00","2013/02/01 10:40:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","53"
"コロコロクリリン","2013/02/01 16:30:00","2013/02/01 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","25"
"リトルツインスターズ","2013/02/01 15:45:00","2013/02/01 16:05:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","32"
"リトルツインスターズ","2013/02/01 16:45:00","2013/02/01 17:05:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","32"
"ポチャッコ","2013/02/01 16:30:00","2013/02/01 16:55:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","28"
"あひるのペックル","2013/02/01 11:40:00","2013/02/01 12:00:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","45"
"キティ・ホワイト","2013/02/02 10:00:00","2013/02/02 10:15:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","1"
"キティ・ホワイト","2013/02/02 11:00:00","2013/02/02 11:30:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","1"
"キティ・ホワイト","2013/02/02 15:00:00","2013/02/02 15:30:00","館外(3F)","1"
"キティ・ホワイト","2013/02/02 18:10:00","2013/02/02 18:35:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","1"
"ミミィ・ホワイト","2013/02/02 13:30:00","2013/02/02 14:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ミミィ・ホワイト","2013/02/02 14:30:00","2013/02/02 15:00:00","ﾚｲﾝﾎﾞｰﾎｰﾙ(3F)","2"
"ダニエル・スター","2013/02/02 10:00:00","2013/02/02 10:15:00","ﾋﾟｭｰﾛﾋﾞﾚｯｼﾞ(1F)","3"
