"End","CID","Location","Name","Start"
"8/5/2023 11:30:00 AM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","8/5/2023 11:00:00 AM"
"8/5/2023 2:30:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","8/5/2023 2:00:00 PM"
"8/5/2023 4:00:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","8/5/2023 3:30:00 PM"
"8/5/2023 5:00:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","8/5/2023 4:30:00 PM"
"8/5/2023 1:00:00 PM","3","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ダニエル","8/5/2023 12:30:00 PM"
"8/5/2023 6:00:00 PM","7","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","マイメロディ","8/5/2023 12:00:00 PM"
"8/5/2023 12:00:00 PM","24","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ウサハナ","8/5/2023 11:30:00 AM"
"8/5/2023 1:30:00 PM","24","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ウサハナ","8/5/2023 1:00:00 PM"
"8/5/2023 3:00:00 PM","24","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ウサハナ","8/5/2023 2:30:00 PM"
"8/5/2023 10:30:00 AM","24","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ウサハナ","8/5/2023 10:00:00 AM"
"8/5/2023 5:30:00 PM","24","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ウサハナ","8/5/2023 5:00:00 PM"
"8/5/2023 11:00:00 AM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","8/5/2023 10:00:00 AM"
"8/5/2023 12:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","8/5/2023 11:30:00 AM"
"8/5/2023 2:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","8/5/2023 1:00:00 PM"
"8/5/2023 3:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","8/5/2023 2:30:00 PM"
"8/5/2023 5:00:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","8/5/2023 4:00:00 PM"
"8/5/2023 11:30:00 AM","35","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","パンダバ","8/5/2023 11:00:00 AM"
"8/5/2023 1:00:00 PM","35","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","パンダバ","8/5/2023 12:30:00 PM"
"8/5/2023 2:30:00 PM","35","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","パンダバ","8/5/2023 2:00:00 PM"
"8/5/2023 4:00:00 PM","35","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","パンダバ","8/5/2023 3:30:00 PM"
"8/5/2023 5:30:00 PM","35","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","パンダバ","8/5/2023 5:00:00 PM"
"8/5/2023 6:00:00 PM","48","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","クロミ","8/5/2023 12:00:00 PM"
"8/5/2023 6:00:00 PM","52","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","シナモン","8/5/2023 12:00:00 PM"
"8/5/2023 11:00:00 AM","86","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ぼんぼんりぼん","8/5/2023 10:30:00 AM"
"8/5/2023 12:30:00 PM","86","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ぼんぼんりぼん","8/5/2023 12:00:00 PM"
"8/5/2023 2:00:00 PM","86","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ぼんぼんりぼん","8/5/2023 1:30:00 PM"
"8/5/2023 3:30:00 PM","86","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ぼんぼんりぼん","8/5/2023 3:00:00 PM"
"8/5/2023 4:30:00 PM","86","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","ぼんぼんりぼん","8/5/2023 4:00:00 PM"
