"End","CID","Location","Name","Start"
"3/22/2021 11:00:00 AM","7","キャンディファクトリー（１Ｆ）","マイメロディ","3/22/2021 10:00:00 AM"
"3/22/2021 12:50:00 PM","46","キャンディファクトリー（１Ｆ）","タキシードサム","3/22/2021 11:00:00 AM"
"3/22/2021 1:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","3/22/2021 11:00:00 AM"
"3/22/2021 4:30:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","3/22/2021 2:00:00 PM"
"3/22/2021 5:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","3/22/2021 4:00:00 PM"
"3/22/2021 12:50:00 PM","86","キャンディファクトリー（１Ｆ）","ぼんぼんりぼん","3/22/2021 11:00:00 AM"
"3/22/2021 3:00:00 PM","128","キャンディファクトリー（１Ｆ）","もっぷ","3/22/2021 2:00:00 PM"
