"End","CID","Location","Name","Start"
"11/25/2020 12:00:00 PM","1","館のレストラン（４Ｆ）","キティ・ホワイト","11/25/2020 11:30:00 AM"
"11/25/2020 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","11/25/2020 1:00:00 PM"
"11/25/2020 4:30:00 PM","3","ジュースファクトリー（１Ｆ）","ダニエル・スター","11/25/2020 2:00:00 PM"
"11/25/2020 11:30:00 AM","7","館のレストラン（４Ｆ）","マイメロディ","11/25/2020 11:00:00 AM"
"11/25/2020 1:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","11/25/2020 11:00:00 AM"
"11/25/2020 12:00:00 PM","53","キャンディファクトリー（１Ｆ）","ウィッシュミーメル","11/25/2020 11:00:00 AM"
"11/25/2020 4:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","11/25/2020 3:00:00 PM"
