"End","CID","Location","Name","Start"
"6/18/2021 12:30:00 PM","3","ジュースファクトリー（１Ｆ）","ダニエル・スター","6/18/2021 11:00:00 AM"
"6/18/2021 4:30:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","6/18/2021 3:30:00 PM"
"6/18/2021 12:00:00 PM","8","キャンディファクトリー（１Ｆ）","ルビー","6/18/2021 11:00:00 AM"
"6/18/2021 3:00:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","6/18/2021 1:00:00 PM"
"6/18/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","6/18/2021 3:00:00 PM"
"6/18/2021 12:00:00 PM","45","キャンディファクトリー（１Ｆ）","あひるのペックル","6/18/2021 11:00:00 AM"
"6/18/2021 2:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","6/18/2021 1:00:00 PM"
