"End","CID","Location","Name","Start"
"4/1/2021 4:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","4/1/2021 3:00:00 PM"
"4/1/2021 2:00:00 PM","19","キャンディファクトリー（１Ｆ）","モカ","4/1/2021 1:00:00 PM"
"4/1/2021 4:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","4/1/2021 1:30:00 PM"
"4/1/2021 10:00:00 AM","48","キャンディファクトリー（１Ｆ）","クロミ","4/1/2021 9:00:00 AM"
"4/1/2021 1:00:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","4/1/2021 10:00:00 AM"
"4/1/2021 12:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","4/1/2021 10:00:00 AM"
"4/2/2021 1:00:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","4/2/2021 10:00:00 AM"
"4/2/2021 11:50:00 AM","24","キャンディファクトリー（１Ｆ）","うさはな","4/2/2021 10:00:00 AM"
"4/2/2021 4:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","4/2/2021 1:30:00 PM"
"4/2/2021 11:50:00 AM","27","キャンディファクトリー（１Ｆ）","マロンクリーム","4/2/2021 10:00:00 AM"
"4/2/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","4/2/2021 3:00:00 PM"
"4/2/2021 10:00:00 AM","48","キャンディファクトリー（１Ｆ）","クロミ","4/2/2021 9:00:00 AM"
"4/2/2021 2:00:00 PM","128","キャンディファクトリー（１Ｆ）","もっぷ","4/2/2021 1:00:00 PM"
"4/3/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","4/3/2021 1:00:00 PM"
"4/3/2021 1:00:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","4/3/2021 10:00:00 AM"
"4/3/2021 11:50:00 AM","8","キャンディファクトリー（１Ｆ）","ルビー","4/3/2021 10:00:00 AM"
"4/3/2021 4:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","4/3/2021 1:30:00 PM"
"4/3/2021 10:00:00 AM","52","キャンディファクトリー（１Ｆ）","シナモン","4/3/2021 9:00:00 AM"
"4/3/2021 4:00:00 PM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","4/3/2021 3:00:00 PM"
"4/3/2021 11:50:00 AM","86","キャンディファクトリー（１Ｆ）","ぼんぼんりぼん","4/3/2021 10:00:00 AM"
"4/4/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","4/4/2021 1:00:00 PM"
"4/4/2021 10:00:00 AM","3","キャンディファクトリー（１Ｆ）","ダニエル・スター","4/4/2021 9:00:00 AM"
"4/4/2021 4:30:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","4/4/2021 1:30:00 PM"
"4/4/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","4/4/2021 3:00:00 PM"
"4/4/2021 11:50:00 AM","46","キャンディファクトリー（１Ｆ）","タキシードサム","4/4/2021 10:00:00 AM"
"4/4/2021 1:00:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","4/4/2021 10:00:00 AM"
"4/4/2021 11:50:00 AM","61","キャンディファクトリー（１Ｆ）","バッドばつ丸","4/4/2021 10:00:00 AM"
"4/5/2021 12:00:00 PM","1","館のレストラン（４Ｆ）","キティ・ホワイト","4/5/2021 11:30:00 AM"
"4/5/2021 12:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","4/5/2021 11:00:00 AM"
"4/5/2021 12:30:00 PM","3","ジュースファクトリー（１Ｆ）","ダニエル・スター","4/5/2021 11:00:00 AM"
"4/5/2021 11:30:00 AM","7","館のレストラン（４Ｆ）","マイメロディ","4/5/2021 11:00:00 AM"
"4/5/2021 2:00:00 PM","19","キャンディファクトリー（１Ｆ）","モカ","4/5/2021 1:00:00 PM"
"4/5/2021 4:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","4/5/2021 3:00:00 PM"
"4/5/2021 4:30:00 PM","48","ジュースファクトリー（１Ｆ）","クロミ","4/5/2021 3:30:00 PM"
"4/5/2021 3:00:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","4/5/2021 1:00:00 PM"
"4/5/2021 12:00:00 PM","128","キャンディファクトリー（１Ｆ）","もっぷ","4/5/2021 11:00:00 AM"
"4/6/2021 12:00:00 PM","1","館のレストラン（４Ｆ）","キティ・ホワイト","4/6/2021 11:30:00 AM"
"4/6/2021 2:00:00 PM","2","キャンディファクトリー（１Ｆ）","ミミィ・ホワイト","4/6/2021 1:00:00 PM"
"4/6/2021 4:30:00 PM","7","ジュースファクトリー（１Ｆ）","マイメロディ","4/6/2021 3:30:00 PM"
"4/6/2021 11:30:00 AM","7","館のレストラン（４Ｆ）","マイメロディ","4/6/2021 11:00:00 AM"
"4/6/2021 3:00:00 PM","26","ジュースファクトリー（１Ｆ）","ポムポムプリン","4/6/2021 1:00:00 PM"
"4/6/2021 12:00:00 PM","28","キャンディファクトリー（１Ｆ）","ポチャッコ","4/6/2021 11:00:00 AM"
"4/6/2021 12:30:00 PM","52","ジュースファクトリー（１Ｆ）","シナモン","4/6/2021 11:00:00 AM"
"4/6/2021 12:00:00 PM","97","キャンディファクトリー（１Ｆ）","マイスウィートピアノ","4/6/2021 11:00:00 AM"
"4/6/2021 4:00:00 PM","128","キャンディファクトリー（１Ｆ）","もっぷ","4/6/2021 3:00:00 PM"
