"End","CID","Location","Name","Start"
"5/12/2023 2:00:00 PM","3","２０１　ｗｏｒｋｏｕｔ　ｓｔｙｌｅ（１Ｆ）","ダニエル","5/12/2023 11:00:00 AM"
"5/12/2023 5:00:00 PM","7","３０１　ｃｕｔｉｅ　ｓｔｒａｗｂｅｒｒｙ（１Ｆ）","マイメロディ","5/12/2023 12:00:00 PM"
"5/12/2023 11:30:00 AM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","5/12/2023 11:00:00 AM"
"5/12/2023 12:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","5/12/2023 12:00:00 PM"
"5/12/2023 1:30:00 PM","26","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","ポムポムプリン","5/12/2023 1:00:00 PM"
"5/12/2023 12:30:00 PM","46","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","タキシードサム","5/12/2023 12:00:00 PM"
"5/12/2023 2:00:00 PM","46","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","タキシードサム","5/12/2023 1:30:00 PM"
"5/12/2023 3:30:00 PM","46","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","タキシードサム","5/12/2023 3:00:00 PM"
"5/12/2023 5:00:00 PM","46","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","タキシードサム","5/12/2023 4:30:00 PM"
"5/12/2023 1:30:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","5/12/2023 12:30:00 PM"
"5/12/2023 3:00:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","5/12/2023 2:00:00 PM"
"5/12/2023 4:30:00 PM","52","１０２　ｖｉｎｔａｇｅ　ｐｏｐ（１Ｆ）","シナモン","5/12/2023 3:30:00 PM"
"5/12/2023 5:00:00 PM","61","２０２　ｍｕｓｉｃ　ｂａｓｅ（１Ｆ）","バッドばつ丸","5/12/2023 2:00:00 PM"
"5/12/2023 12:00:00 PM","139","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","こぎみゅん","5/12/2023 11:30:00 AM"
"5/12/2023 1:00:00 PM","139","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","こぎみゅん","5/12/2023 12:30:00 PM"
"5/12/2023 2:00:00 PM","139","１０１　ｇａｍｅｒ　ｍｏｄｅｒｎ（１Ｆ）","こぎみゅん","5/12/2023 1:30:00 PM"
